X,Y,id,lbl,fip,mmt_id,short__frm,long_frm,adm0,adm1,adm2,adm3,adm4,adm5,stl-0,stl-1,stl-2,stl-3,stl-4,stl-5,bbox
-0.318530239650789,6.87826943139603,24,GHA-24,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Asutifi,-,-,-,92,2,3,-,-,-,"[ -0.749610, 6.540830, 0.247800, 7.212120 ]"
0.480991953220214,8.36041434884102,25,GHA-25,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Atebubu-Amantin,-,-,-,92,2,4,-,-,-,"[ 0.082620, 7.945740, 0.730370, 8.775340 ]"
0.333425929770818,9.13082518603267,26,GHA-26,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Berekum,-,-,-,92,2,5,-,-,-,"[ 0.166150, 8.765350, 0.563380, 9.496360 ]"
0.166127097383222,8.79028402643223,27,GHA-27,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Dormaa,-,-,-,92,2,6,-,-,-,"[ -0.086580, 8.523100, 0.396890, 9.063960 ]"
-0.269836587806595,9.41650995935023,28,GHA-28,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Jaman North,-,-,-,92,2,7,-,-,-,"[ -0.660430, 9.063960, 0.259520, 9.796810 ]"
0.192217066385274,9.89845298171491,29,GHA-29,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Jaman South,-,-,-,92,2,8,-,-,-,"[ -0.052790, 9.368440, 0.414610, 10.417480 ]"
-0.050993577991425,10.4822352088052,30,GHA-30,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Kintampo North,-,-,-,92,2,9,-,-,-,"[ -0.342910, 10.240700, 0.198800, 10.714590 ]"
-0.104828222257719,9.99132412743199,31,GHA-31,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Kintampo South,-,-,-,92,2,10,-,-,-,"[ -0.503050, 9.615020, 0.124580, 10.363480 ]"
-0.437088289898048,10.4207917114162,32,GHA-32,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Nkoranza,-,-,-,92,2,11,-,-,-,"[ -0.670580, 10.254400, -0.233640, 10.626070 ]"
-0.158349254513986,10.8309404678012,33,GHA-33,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Pru,-,-,-,92,2,12,-,-,-,"[ -0.375810, 10.619530, 0.032070, 11.037290 ]"
-0.491064440677017,10.840137895827,34,GHA-34,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Sene,-,-,-,92,2,13,-,-,-,"[ -0.621150, 10.559110, -0.329280, 11.120540 ]"
-0.259818065131605,10.9839885653245,35,GHA-35,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Sunyani,-,-,-,92,2,14,-,-,-,"[ -0.395190, 10.794350, 0.026300, 11.173300 ]"
-0.680331439908686,10.6861591803148,36,GHA-36,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Tain,-,-,-,92,2,15,-,-,-,"[ -0.949100, 10.480090, -0.518240, 10.891940 ]"
-0.779144606507097,10.9153890287953,37,GHA-37,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Tano North,-,-,-,92,2,16,-,-,-,"[ -0.941160, 10.828100, -0.617770, 11.002810 ]"
-0.887295808601035,10.715687245332,38,GHA-38,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Tano South,-,-,-,92,2,17,-,-,-,"[ -1.014550, 10.567910, -0.700670, 10.863480 ]"
-1.06940410179432,10.7561358144534,39,GHA-39,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Techiman Municipal,-,-,-,92,2,18,-,-,-,"[ -1.528430, 10.497370, -0.893140, 11.015000 ]"
-0.902527983460439,10.291746993204,40,GHA-40,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Wenchi,-,-,-,92,2,19,-,-,-,"[ -1.663440, 9.929880, -0.562580, 10.652680 ]"
-1.30396364271144,10.5792481016033,41,GHA-41,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Central,Abura/Asebu/Kwamankese,-,-,-,92,3,1,-,-,-,"[ -1.572500, 10.274790, -1.065610, 10.883540 ]"
-1.75675575123168,10.5951117932799,42,GHA-42,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Central,Agona,-,-,-,92,3,2,-,-,-,"[ -1.989200, 10.171630, -1.427800, 11.018970 ]"
