AREANM,AREACD,time1,time2,time3,time4,time5,time6
Western,1,109.7,109,66,65,67,56
Volta,4,98,113,86,50,89,61
Eastern,5,89.1,95,93,81,61,68
Ashanti,6,78.2,116,113,80,86,80
Northern,8,171.3,154,133,137,124,111
Upper East,9,155.6,79,106,78,98,72
Upper West,10,155.3,208,191,142,108,92
